id,title,genres,overview,release_date,poster_path,vote_average
1000085,Morlaix,['Drama'],"A young high school student marked by the recent death of her mother, Gwen, spends her time with her group of friends, including her lover Thomas, an apprentice baker. When Jean-Luc, a Parisian student who looks like an artist, moves into the area, Gwen does not hide her trouble, as if a decisive life choice was before her. One day, she discovers a film at the cinema that seems inexplicably inspired by her own life. Will she find the answers she is looking for?",2025-03-14,/nUTE76LKG45ntFkgGFz1lpluzQR.jpg,0.0
1330596,The Enemy's Gift,['Drama'],"Victor has unfinished business with his former psychoanalyst Carmo. After years of holding a grudge, he lures Carmo into his house in order to finally take vengeance.",2025-03-14,/twEjPAErx23tRBSOVfvziSNbRJf.jpg,0.0
1424217,Court - State Vs. A Nobody,"['Drama', 'Romance']","A determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",2025-03-14,/4pEX67LJd7ZIqYWtksBtOgQEGcQ.jpg,0.0
1339790,"Cupcakes, Lonely Cats",['Drama'],"Liu Hui is a widower whose son lives in America. She insists on living alone in the house she shared with her late husband, a calligrapher, and is surrounded by fond memories. As she gradually joins community activities, she strikes up an acquaintance with the kind and shy building caretaker who faces a quandary over a stray cat. Small moments together reveal loneliness and companionship.",2025-03-14,,0.0
1386047,My Partners,['Documentary'],"Three couples from Estonia and Germany navigate the uncharted territory of free love, finding new partners without ending their current relationships. On their journey they seek the help of mentors, psychologists, shamans, dancers and meditation experts. Over the course of several years, filmmaker Eva Kübar observes their sexual intimacy, desires and insecurities without ever judging their personal choices.",2025-03-14,/7JdFCKQQp5ee21ggDKOAUwziXDg.jpg,8.0
1442417,A Murder in Oakland: Beauty is Deadly,"['Drama', 'Comedy', 'Crime']","Recently cleared of an embezzlement charge, Detective Williams (Marcus D Spencer) is handed a high-profile murder case while also forced to take on a new partner. Williams is trying to solve this case while also working to see if he can trust his partner.",2025-03-14,/iGz5PJNLHKZnWI2x36kP8igIZOe.jpg,1.0
1399896,Art Attack! The Dissection of Terrifier 3,['Documentary'],"Described to be 'a full dive into how the Terrifier 3 team brought various brutal kills and bloody effects to life in the latest slasher entry'. The documentary features interviews with director Damien Leone, producer Phil Falcone, and various cast members, along with new footage from the set.",2025-03-14,/twNL1SF1Dne6Yp1tv6rQSDiTHyF.jpg,8.0
1380415,The Last Supper,"['Drama', 'History']",A powerful cinematic Biblical journey that brings to life the ultimate act of love and sacrifice as seen through the eyes of those who walked alongside Jesus.,2025-03-14,/3VLE1WoexFHL4NpR1LYU9ds0UaI.jpg,8.0
1421053,A Girl & Her Guard Dog,"['Drama', 'Romance']","Senagaki Isaku will be a first-year high school student starting in spring. Her grandfather is the third head of the Senagaki group, a yakuza organization, so she is feared by those around her. However, starting from spring, she hopes to make normal friends and normally fall in love. She is admitted into a high school further from her hometown, however, the overprotective young head of the Senagaki group, Utou Keiya, (26 years old) falsifies his age and enters the school with her through a backdoor admission…?! Keiya proclaims that love is too early for her although Isaku is perfectly ready. In truth, she has held an unrequited love for Keiya for quite some time.",2025-03-14,/bvbLBGPFhamZ1qNNxeMOxAX878G.jpg,6.5
1371370,Skarlett,"['Music', 'Horror']","Paying homage to 70's grindhouse and B-Movies with music by The Brujas, this music video follows a cannibal bassist that seeks her next victim in a sleazy bar, using her charms to seduce him and then eat him alive, a character introduced in the band's previous single: ""Caníbal"".",2025-03-14,/tSJZe7yAlCB8FSePeg1IqQYDv9B.jpg,0.0
1275248,Sister Midnight,"['Comedy', 'Drama', 'Horror']","In Mumbai, an arranged marriage spirals into darkness as the spineless husband watches his wife morph into a ruthless, feral force within their marital confines.",2025-03-14,/lXMJ6un3SZvRq8cOHap7LviY5hG.jpg,7.5
1208803,The Regulars,['Comedy'],"Set in London's iconic Prince Charles Cinema, The Regulars follows a day in the life of its hapless employees. During their shift they watch movies, argue with customers, and, above all, deal with each other.",2025-03-14,/uXcTWEMxpKGRzhBTJkFdFAYJnab.jpg,0.0
1416501,DNA,['Drama'],,2025-03-14,/lO8Y1Flrhh090p93whgir2DUAot.jpg,5.0
